PVPC - 04/11/2022:
00:00 - 0.208 EUR/kWh
01:00 - 0.207 EUR/kWh
02:00 - 0.207 EUR/kWh
03:00 - 0.198 EUR/kWh
04:00 - 0.182 EUR/kWh
05:00 - 0.195 EUR/kWh
06:00 - 0.211 EUR/kWh
07:00 - 0.221 EUR/kWh
08:00 - 0.244 EUR/kWh
09:00 - 0.226 EUR/kWh
10:00 - 0.253 EUR/kWh
11:00 - 0.233 EUR/kWh
12:00 - 0.227 EUR/kWh
13:00 - 0.221 EUR/kWh
14:00 - 0.173 EUR/kWh
15:00 - 0.173 EUR/kWh
16:00 - 0.21 EUR/kWh
17:00 - 0.235 EUR/kWh
18:00 - 0.308 EUR/kWh
19:00 - 0.357 EUR/kWh
20:00 - 0.33 EUR/kWh
21:00 - 0.321 EUR/kWh
22:00 - 0.262 EUR/kWh
23:00 - 0.246 EUR/kWh
